,x,y,z,result
445,-485.09149,-81.307549,66.735458,0.999051
446,48.525822,723.04578,-69.403511,0.999913
447,26.346767,771.6665,-69.022446,0.99992
448,-36.57655,773.57446,-68.269661,1.000004
449,-450.68008,-80.620598,65.787216,0.999182
450,-518.83466,-116.46307,66.483795,0.999317
451,-552.59857,-151.58572,65.819176,0.999467
452,-518.15588,-150.92021,65.628082,0.999471
453,-517.48425,-185.36693,64.551567,0.999505
454,-551.25781,-220.46692,63.450329,0.999576
455,-516.81415,-219.8049,63.351597,0.999517
456,-449.97964,-115.10206,65.176842,0.999306
457,-3.3208871,771.73352,-68.619164,0.999869
458,-483.72067,-150.24681,65.204109,0.9994
459,-106.92038,767.26019,-67.465195,1.004813
460,-171.93344,761.45618,-67.588013,1.003096
461,-103.65894,704.04156,-62.290237,1.004093
462,-449.29529,-149.56262,64.200096,0.999307
463,-448.6218,-184.01819,63.004955,0.99933
464,-111.16496,793.01703,-67.923103,1.000193
465,-75.828903,776.71802,-68.050964,1.000633
466,-482.38342,-219.13342,62.62392,0.999436
467,-138.88376,792.19037,-67.888969,1.000026
468,-171.64175,792.09967,-66.843468,1.002493
469,-138.70816,763.79852,-67.877899,1.007786
470,-447.95297,-218.46288,61.725075,0.999348
471,-296.74524,711.99933,-4.8656292,0.999767
472,-433.32962,710.60089,13.067481,0.999972
473,-293.47272,575.4903,14.357233,0.999115
474,-308.46237,801.70007,-66.094688,1.00738
475,-233.89284,770.8172,-40.00304,0.993781
476,-297.42331,778.21027,-16.220087,1.000818
477,-229.07596,712.32373,-17.572227,0.998976
478,-205.97079,791.18628,-67.237915,1.006395
479,-242.72415,788.05121,-66.918312,1.006005
480,-204.04906,763.32111,-55.969395,0.98646
481,-653.90283,-256.85294,60.784092,0.999625
482,-687.66553,-291.92209,58.291428,0.999618
483,-653.2359,-291.27576,59.235142,0.999599
484,-652.58057,-325.69965,57.587296,0.999607
485,-686.35217,-360.76102,55.035851,0.999658
486,-651.92511,-360.11307,55.806065,0.999662
487,-585.0351,-255.55254,61.913616,0.99955
488,-618.815,-290.63757,60.05867,0.999585
489,-584.37366,-289.97552,60.274479,0.999566
490,-583.72076,-324.39264,58.551285,0.999566
491,-617.50354,-359.4657,56.309399,0.999622
492,-277.58939,804.4212,-66.481041,1.009056
493,-583.07727,-358.80685,56.490265,0.999542
494,-651.28424,-394.51904,53.759361,0.999746
495,-685.05707,-429.54733,50.726215,0.999868
496,-650.6405,-428.91809,51.60133,0.999841
497,-375.55161,805.3703,-58.066479,0.99928
498,-650.00043,-463.28784,49.015648,0.999936
499,-683.77509,-498.29858,45.969997,0.999986
500,-649.37268,-497.64368,46.336845,0.999998
501,-341.64066,801.66931,-64.149185,1.009992
